CellType,Symbol,AffymetrixID,UGCluster,EntrezGene ,Name
TFH,KCNK5,219615_s_at,Hs.444448,8645,"potassium channel, subfamily K, member 5"
TFH,KIAA1324,221874_at,Hs.642705,57535,KIAA1324
TFH,MAF,206363_at,Hs.134859,4094,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
TFH,MAF,209348_s_at,Hs.134859,4094,v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
TFH,MAGEH1,218573_at,Hs.279819,28986,"melanoma antigen family H, 1"
TFH,MKL2,218259_at,Hs.592047,57496,MKL/myocardin-like 2
TFH,MYO6,210480_s_at,Hs.149387,4646,myosin VI
TFH,MYO7A,33197_at,Hs.370421,4647,myosin VIIA
TFH,MYO7A,208189_s_at,Hs.370421,4647,myosin VIIA
TFH,PASK,216945_x_at,Hs.694813,23178,PAS domain containing serine/threonine kinase
TFH,PASK,213534_s_at,Hs.694813,23178,PAS domain containing serine/threonine kinase
TFH,PDCD1,207634_at,Hs.158297,5133,programmed cell death 1
TFH,POMT1,218476_at,Hs.522449,10585,protein-O-mannosyltransferase 1
TFH,PTPN13,204201_s_at,Hs.436142,5783,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"
TFH,PVALB,205336_at,Hs.295449,5816,parvalbumin
TFH,SH3TC1,219256_s_at,Hs.479116,54436,SH3 domain and tetratricopeptide repeats 1
TFH,SIRPG,220485_s_at,Hs.590883,55423,signal-regulatory protein gamma
TFH,SLC7A10,220868_s_at,Hs.58679,56301,"solute carrier family 7, (neutral amino acid transporter, y+ system) member 10"
TFH,SMAD1,210993_s_at,Hs.656534,4086,SMAD family member 1
TFH,ST8SIA1,210073_at,Hs.408614,6489,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
TFH,STK39,202786_at,Hs.276271,27347,"serine threonine kinase 39 (STE20/SPS1 homolog, yeast)"
TFH,THADA,54632_at,Hs.369592,63892,thyroid adenoma associated
TFH,THADA,220212_s_at,Hs.369592,63892,thyroid adenoma associated
TFH,TOX,204529_s_at,"Hs.491805, Hs.634856",9760,thymocyte selection-associated high mobility group box
TFH,TSHR,210055_at,Hs.160411,7253,thyroid stimulating hormone receptor
TFH,ZNF764,57516_at,Hs.132227,92595,zinc finger protein 764
Tgd,C1orf61,205103_at,Hs.380027,10485,chromosome 1 open reading frame 61
Tgd,CD160,207840_at,Hs.488237,11126,CD160 molecule
Tgd,FEZ1,203562_at,Hs.224008,9638,fasciculation and elongation protein zeta 1 (zygin I)
Tgd,TARP,211144_x_at,Hs.534032,445347,TCR gamma alternate reading frame protein
Tgd,TARP,216920_s_at,Hs.534032,445347,TCR gamma alternate reading frame protein
Tgd,TRD@,217143_s_at,Hs.74647,6964,T cell receptor delta locus
Tgd,TRGV9,209813_x_at,Hs.534032,6983,T cell receptor gamma variable 9
Th1 cells,APBB2,213419_at,Hs.479602,323,"amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)"
Th1 cells,APBB2,40148_at,Hs.479602,323,"amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)"
Th1 cells,APOD,201525_at,Hs.522555,347,apolipoprotein D
Th1 cells,ATP9A,212062_at,Hs.592144,10079,"ATPase, Class II, type 9A"
Th1 cells,BST2,201641_at,Hs.118110,684,bone marrow stromal cell antigen 2
Th1 cells,BTG3,205548_s_at,Hs.473420,10950,"BTG family, member 3"
Th1 cells,CCL4,204103_at,Hs.75703,6351,chemokine (C-C motif) ligand 4
Th1 cells,CD38,205692_s_at,Hs.479214,952,CD38 molecule
Th1 cells,CD70,206508_at,Hs.501497,970,CD70 molecule
Th1 cells,CMAH,210571_s_at,Hs.484918,8418,cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)
Th1 cells,CSF2,210229_s_at,Hs.1349,1437,colony stimulating factor 2 (granulocyte-macrophage)
Th1 cells,CTLA4,221331_x_at,Hs.247824,1493,cytotoxic T-lymphocyte-associated protein 4
Th1 cells,DGKI,206806_at,Hs.242947,9162,"diacylglycerol kinase, iota"
Th1 cells,DOK5,214844_s_at,Hs.656582,55816,docking protein 5
Th1 cells,DPP4,211478_s_at,Hs.368912,1803,"dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)"
Th1 cells,DPP4,203716_s_at,Hs.368912,1803,"dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)"
Th1 cells,DUSP5,209457_at,Hs.2128,1847,dual specificity phosphatase 5
Th1 cells,EGFL6,219454_at,Hs.12844,25975,"EGF-like-domain, multiple 6"
Th1 cells,GGT1,211417_x_at,"Hs.595809, Hs.645535",2678,gamma-glutamyltransferase 1
Th1 cells,HBEGF,38037_at,Hs.799,1839,heparin-binding EGF-like growth factor
Th1 cells,IFNG,210354_at,Hs.856,3458,"interferon, gamma"
Th1 cells,IL12RB2,206999_at,Hs.479347,3595,"interleukin 12 receptor, beta 2"
Th1 cells,IL22,221165_s_at,Hs.287369,50616,interleukin 22
Th1 cells,LRP8,205282_at,Hs.576154,7804,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
Th1 cells,LRRN3,209840_s_at,Hs.3781,54674,leucine rich repeat neuronal 3
Th1 cells,LTA,206975_at,Hs.36,4049,"lymphotoxin alpha (TNF superfamily, member 1)"
Th1 cells,SGCB,205120_s_at,Hs.438953,6443,"sarcoglycan, beta (43kDa dystrophin-associated glycoprotein)"
Th1 cells,SYNGR3,205691_at,Hs.435277,9143,synaptogyrin 3
Th1 cells,ZBTB32,220118_at,Hs.99430,27033,zinc finger and BTB domain containing 32
Th17 cells,IL17A,208402_at,Hs.41724,3605,interleukin 17A
Th17 cells,IL17A,216876_s_at,Hs.41724,3605,interleukin 17A
Th17 cells,IL17RA,205707_at,Hs.129751,23765,interleukin 17 receptor A
Th17 cells,RORC,206419_at,"Hs.256022, Hs.607993",6097,RAR-related orphan receptor C
Th2 cells,ADCY1,213245_at,Hs.192215,107,adenylate cyclase 1 (brain)
Th2 cells,AHI1,220841_s_at,Hs.386684,54806,Abelson helper integration site 1
Th2 cells,AHI1,220842_at,Hs.386684,54806,Abelson helper integration site 1
Th2 cells,AHI1,221569_at,Hs.386684,54806,Abelson helper integration site 1
Th2 cells,AI582773,214373_at,Hs.655175,728210,hypothetical protein LOC728210
Th2 cells,ANK1,208353_x_at,"Hs.654438, Hs.667377",286,"ankyrin 1, erythrocytic"
Th2 cells,BIRC5,210334_x_at,Hs.514527,332,baculoviral IAP repeat-containing 5 (survivin)
Th2 cells,CDC25C,205167_s_at,Hs.656,995,cell division cycle 25 homolog C (S. pombe)
Th2 cells,CDC7,204510_at,Hs.533573,8317,cell division cycle 7 homolog (S. cerevisiae)
Th2 cells,CENPF,209172_s_at,Hs.497741,1063,"centromere protein F, 350/400ka (mitosin)"
Th2 cells,CXCR6,211469_s_at,Hs.34526,10663,chemokine (C-X-C motif) receptor 6
Th2 cells,CXCR6,206974_at,Hs.34526,10663,chemokine (C-X-C motif) receptor 6
Th2 cells,DHFR,202534_x_at,"Hs.648635, Hs.654551",1719,dihydrofolate reductase
Th2 cells,DHFR,48808_at,"Hs.648635, Hs.654551",1719,dihydrofolate reductase
Th2 cells,EVI5,209717_at,Hs.656836,7813,ecotropic viral integration site 5
Th2 cells,GATA3,209602_s_at,Hs.524134,2625,GATA binding protein 3
Th2 cells,GSTA4,202967_at,Hs.485557,2941,glutathione S-transferase A4
Th2 cells,HELLS,220085_at,Hs.655830,3070,"helicase, lymphoid-specific"
Th2 cells,IL26,221111_at,Hs.272350,55801,interleukin 26
Th2 cells,LAIR2,207509_s_at,Hs.43803,3904,leukocyte-associated immunoglobulin-like receptor 2
Th2 cells,LIMA1,217892_s_at,Hs.525419,51474,LIM domain and actin binding 1
Th2 cells,MB,204179_at,Hs.517586,4151,myoglobin
Th2 cells,MICAL2,212472_at,Hs.501928,9645,"microtubule associated monoxygenase, calponin and LIM domain containing 2"
Th2 cells,NEIL3,219502_at,Hs.405467,55247,nei endonuclease VIII-like 3 (E. coli)
Th2 cells,PHEX,210617_at,Hs.495834,5251,"phosphate regulating endopeptidase homolog, X-linked (hypophosphatemia, vitamin D resistant rickets)"
Th2 cells,PMCH,206942_s_at,Hs.694729,5367,pro-melanin-concentrating hormone
Th2 cells,PTGIS,208131_s_at,Hs.302085,5740,prostaglandin I2 (prostacyclin) synthase
Th2 cells,SLC39A14,212110_at,Hs.491232,23516,"solute carrier family 39 (zinc transporter), member 14"
Th2 cells,SMAD2,203076_s_at,"Hs.12253, Hs.598146",4087,SMAD family member 2
Th2 cells,SMAD2,203077_s_at,"Hs.12253, Hs.598146",4087,SMAD family member 2
Th2 cells,SNRPD1,202691_at,Hs.464734,6632,small nuclear ribonucleoprotein D1 polypeptide 16kDa
Th2 cells,WDHD1,204728_s_at,Hs.385998,11169,WD repeat and HMG-box DNA binding protein 1
TReg,FOXP3,221333_at,Hs.247700,50943,forkhead box P3
TReg,FOXP3,221334_s_at,Hs.247700,50943,forkhead box P3
