"ACCNUM"	"SYMBOL"	"DESC"
"213943_at"	"X99268"	"TWIST1"	"twist family bHLH transcription factor 1"
"213944_x_at"	"BG236220"	"GNA11"	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
"213945_s_at"	"AA909765"	"NUP210"	"nucleoporin 210kDa"
"213946_s_at"	"AI633851"	"OBSL1"	"obscurin-like 1"
"213947_s_at"	"AI867102"	"NUP210"	"nucleoporin 210kDa"
"213948_x_at"	"AI564838"	"CADM3"	"cell adhesion molecule 3"
"213949_s_at"	"AI370867"	"DOHH"	"deoxyhypusine hydroxylase/monooxygenase"
"213950_s_at"	"BE670265"	"PPP3CC"	"protein phosphatase 3, catalytic subunit, gamma isozyme"
"213951_s_at"	"BE964655"	"PSMC3IP"	"PSMC3 interacting protein"
"213952_s_at"	"AI372974"	"ALOX5"	"arachidonate 5-lipoxygenase"
"213953_at"	"AI732381"	"KRT20"	"keratin 20, type I"
"213954_at"	"AB020695"	"FAM169A"	"family with sequence similarity 169, member A"
"213955_at"	"BE673151"	"MYOZ3"	"myozenin 3"
"213956_at"	"AW299294"	"CEP350"	"centrosomal protein 350kDa"
"213957_s_at"	"AA635523"	"CEP350"	"centrosomal protein 350kDa"
"213958_at"	"AW134823"	"CD6"	"CD6 molecule"
"213959_s_at"	"BF515597"	"RPGRIP1L"	"RPGRIP1-like"
"213960_at"	"T87225"	"NTRK3"	"neurotrophic tyrosine kinase, receptor, type 3"
"213961_s_at"	"AI077556"	"TAF6L"	"TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa"
"213962_s_at"	"AI924382"	"ANKLE2"	"ankyrin repeat and LEM domain containing 2"
"213963_s_at"	"AW589975"	"SAP30"	"Sin3A-associated protein, 30kDa"
"213964_x_at"	"AI307586"	"RPARP-AS1"	"RPARP antisense RNA 1"
"213965_s_at"	"AL035406"	"CHD5"	"chromodomain helicase DNA binding protein 5"
"213966_at"	"N25429"	"HMG20B"	"high mobility group 20B"
"213967_at"	"AI634532"	"RALYL"	"RALY RNA binding protein-like"
"213968_at"	"AA748177"	"TSPAN5"	"tetraspanin 5"
"213969_x_at"	"BF683426"	"RPL29"	"ribosomal protein L29"
"213970_at"	"AA744682"	"RABL3"	"RAB, member of RAS oncogene family-like 3"
"213971_s_at"	"AI924660"	"NA"	"NA"
"213972_at"	"AI080288"	"FOXD1"	"forkhead box D1"
"213973_at"	"BE646396"	"RRBP1"	"ribosome binding protein 1"
"213974_at"	"AB033059"	"ADAMTSL3"	"ADAMTS-like 3"
"213975_s_at"	"AV711904"	"LYZ"	"lysozyme"
"213976_at"	"AA054734"	"CIZ1"	"CDKN1A interacting zinc finger protein 1"
"213977_s_at"	"AA054734"	"CIZ1"	"CDKN1A interacting zinc finger protein 1"
"213978_at"	"AA338945"	"MTSS1L"	"metastasis suppressor 1-like"
"213979_s_at"	"BF984434"	"NA"	"NA"
"213980_s_at"	"AA053830"	"CTBP1"	"C-terminal binding protein 1"
"213981_at"	"BG054676"	"COMT"	"catechol-O-methyltransferase"
"213982_s_at"	"BG107203"	"RABGAP1L"	"RAB GTPase activating protein 1-like"
"213983_s_at"	"AW991219"	"PDS5A"	"PDS5 cohesin associated factor A"
"213984_at"	"AW991219"	"PDS5A"	"PDS5 cohesin associated factor A"
"213985_s_at"	"H45660"	"TMEM259"	"transmembrane protein 259"
"213986_s_at"	"AI805266"	"TMEM259"	"transmembrane protein 259"
"213987_s_at"	"AA576621"	"CDK13"	"cyclin-dependent kinase 13"
"213988_s_at"	"BE971383"	"SAT1"	"spermidine/spermine N1-acetyltransferase 1"
"213989_x_at"	"AB004853"	"SETD4"	"SET domain containing 4"
"213990_s_at"	"BF056517"	"PAK7"	"p21 protein (Cdc42/Rac)-activated kinase 7"
"213991_s_at"	"BF940710"	"HS3ST1"	"heparan sulfate (glucosamine) 3-O-sulfotransferase 1"
"213992_at"	"AI889941"	"COL4A6"	"collagen, type IV, alpha 6"
"213993_at"	"AI885290"	"SPON1"	"spondin 1, extracellular matrix protein"
"213994_s_at"	"AI885290"	"SPON1"	"spondin 1, extracellular matrix protein"
"213995_at"	"AW195882"	"ATP5S"	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit s (factor B)"
"213996_at"	"NM_013313"	"YPEL1"	"yippee-like 1"
"213997_at"	"AB011146"	"FAM189A1"	"family with sequence similarity 189, member A1"
"213998_s_at"	"AW188131"	"DDX17"	"DEAD (Asp-Glu-Ala-Asp) box helicase 17"
"213999_at"	"BE999993"	"YIPF4"	"Yip1 domain family, member 4"
"214000_s_at"	"AI744627"	"RGS10"	"regulator of G-protein signaling 10"
"214001_x_at"	"AW302047"	"RPS10"	"ribosomal protein S10"
"214002_at"	"AA419227"	"MYL6"	"myosin, light chain 6, alkali, smooth muscle and non-muscle"
"214003_x_at"	"BF184532"	"NA"	"NA"
"214004_s_at"	"AI806207"	"VGLL4"	"vestigial-like family member 4"
"214005_at"	"BE326952"	"GGCX"	"gamma-glutamyl carboxylase"
"214006_s_at"	"BE326952"	"GGCX"	"gamma-glutamyl carboxylase"
"214007_s_at"	"AW665024"	"TWF1"	"twinfilin actin binding protein 1"
"214008_at"	"N25562"	"TWF1"	"twinfilin actin binding protein 1"
"214009_at"	"R10150"	"MSL3"	"male-specific lethal 3 homolog (Drosophila)"
"214010_s_at"	"R50094"	"ATP9B"	"ATPase, class II, type 9B"
"214011_s_at"	"BE314601"	"NOP16"	"NOP16 nucleolar protein"
"214012_at"	"BE551138"	"ERAP1"	"endoplasmic reticulum aminopeptidase 1"
"214013_s_at"	"BE675153"	"TBC1D1"	"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1"
"214014_at"	"W81196"	"CDC42EP2"	"CDC42 effector protein (Rho GTPase binding) 2"
"214015_at"	"AI968839"	"SOCS7"	"suppressor of cytokine signaling 7"
"214016_s_at"	"AL558875"	"SFPQ"	"splicing factor proline/glutamine-rich"
"214017_s_at"	"AA039439"	"DHX34"	"DEAH (Asp-Glu-Ala-His) box polypeptide 34"
"214018_at"	"AI203397"	"GRIP1"	"glutamate receptor interacting protein 1"
"214019_at"	"Z23022"	"NA"	"NA"
"214020_x_at"	"BE138575"	"ITGB5"	"integrin, beta 5"
"214021_x_at"	"AI335208"	"ITGB5"	"integrin, beta 5"
"214022_s_at"	"AA749101"	"IFITM1"	"interferon induced transmembrane protein 1"
"214023_x_at"	"AL533838"	"TUBB2B"	"tubulin, beta 2B class IIb"
"214024_s_at"	"AA631156"	"DGCR6L"	"DiGeorge syndrome critical region gene 6-like"
"214025_at"	"AI922937"	"DDX28"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28"
"214026_s_at"	"AI860246"	"SPRED2"	"sprouty-related, EVH1 domain containing 2"
"214027_x_at"	"AA889653"	"NA"	"NA"
"214028_x_at"	"AU156998"	"TDRD3"	"tudor domain containing 3"
"214029_at"	"AI435954"	"SLC25A42"	"solute carrier family 25, member 42"
"214030_at"	"BE501352"	"CRYBG3"	"beta-gamma crystallin domain containing 3"
"214031_s_at"	"AI920979"	"KRT7"	"keratin 7, type II"
"214032_at"	"AI817942"	"ZAP70"	"zeta-chain (TCR) associated protein kinase 70kDa"
"214033_at"	"AI084637"	"NA"	"NA"
"214034_at"	"AB011097"	"ERAP1"	"endoplasmic reticulum aminopeptidase 1"
"214035_x_at"	"AA308853"	"NA"	"NA"
"214036_at"	"BE464799"	"EFNA5"	"ephrin-A5"
"214037_s_at"	"BF224247"	"CCDC22"	"coiled-coil domain containing 22"
"214038_at"	"AI984980"	"CCL8"	"chemokine (C-C motif) ligand 8"
"214039_s_at"	"T15777"	"LAPTM4B"	"lysosomal protein transmembrane 4 beta"
"214040_s_at"	"BE675337"	"GSN"	"gelsolin"
"214041_x_at"	"BE857772"	"RPL37A"	"ribosomal protein L37a"
"214042_s_at"	"AW071997"	"RPL22"	"ribosomal protein L22"
"214043_at"	"BF062299"	"PTPRD"	"protein tyrosine phosphatase, receptor type, D"
"214044_at"	"BE968750"	"RYR2"	"ryanodine receptor 2 (cardiac)"
"214045_at"	"BF056778"	"LIAS"	"lipoic acid synthetase"
"214046_at"	"AA017721"	"FUT9"	"fucosyltransferase 9 (alpha (1,3) fucosyltransferase)"
"214047_s_at"	"AI913365"	"MBD4"	"methyl-CpG binding domain 4 DNA glycosylase"
"214048_at"	"AI913365"	"MBD4"	"methyl-CpG binding domain 4 DNA glycosylase"
"214049_x_at"	"AI829961"	"CD7"	"CD7 molecule"
"214050_at"	"AI694317"	"CGGBP1"	"CGG triplet repeat binding protein 1"
"214051_at"	"BF677486"	"NA"	"NA"
"214052_x_at"	"AW301305"	"PRRC2C"	"proline-rich coiled-coil 2C"
"214053_at"	"AW772192"	"ERBB4"	"erb-b2 receptor tyrosine kinase 4"
"214054_at"	"AI828929"	"DOK2"	"docking protein 2, 56kDa"
"214055_x_at"	"AW238632"	"PRRC2C"	"proline-rich coiled-coil 2C"
"214056_at"	"BF981280"	"MCL1"	"myeloid cell leukemia 1"
"214057_at"	"H71805"	"MCL1"	"myeloid cell leukemia 1"
"214058_at"	"M19720"	"MYCL"	"v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog"
"214059_at"	"BE049439"	"IFI44"	"interferon-induced protein 44"
"214060_at"	"BE220360"	"SSBP1"	"single-stranded DNA binding protein 1, mitochondrial"
"214061_at"	"AI017564"	"TBC1D31"	"TBC1 domain family, member 31"
"214062_x_at"	"AI684894"	"NFKBIB"	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta"
"214063_s_at"	"AI073407"	"TF"	"transferrin"
"214064_at"	"AI073407"	"TF"	"transferrin"
"214065_s_at"	"BG251252"	"CIB2"	"calcium and integrin binding family member 2"
"214066_x_at"	"AA565715"	"NPR2"	"natriuretic peptide receptor 2"
"214067_at"	"AL031709"	"TSR3"	"TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)"
"214068_at"	"AF070610"	"BEAN1"	"brain expressed, associated with NEDD4, 1"
"214069_at"	"AA865601"	"NA"	"NA"
"214070_s_at"	"AW006935"	"ATP10B"	"ATPase, class V, type 10B"
"214071_at"	"AI082827"	"GNAL"	"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type"
"214072_x_at"	"AA679297"	"NENF"	"neudesin neurotrophic factor"
"214073_at"	"BG475299"	"CTTN"	"cortactin"
"214074_s_at"	"BG475299"	"CTTN"	"cortactin"
"214075_at"	"AI984136"	"NENF"	"neudesin neurotrophic factor"
"214076_at"	"AI697803"	"GFOD2"	"glucose-fructose oxidoreductase domain containing 2"
"214077_x_at"	"H15129"	"MEIS3P1"	"Meis homeobox 3 pseudogene 1"
"214078_at"	"AF070581"	"NA"	"NA"
"214079_at"	"AK000345"	"DHRS2"	"dehydrogenase/reductase (SDR family) member 2"
"214080_x_at"	"AI815793"	"PRKCSH"	"protein kinase C substrate 80K-H"
"214081_at"	"AF070526"	"PLXDC1"	"plexin domain containing 1"
"214082_at"	"AW003516"	"CA5B"	"carbonic anhydrase VB, mitochondrial"
"214083_at"	"AW772123"	"PPP2R5C"	"protein phosphatase 2, regulatory subunit B', gamma"
"214084_x_at"	"AW072388"	"NA"	"NA"
"214085_x_at"	"AI912583"	"GLIPR1"	"GLI pathogenesis-related 1"
"214086_s_at"	"AK001980"	"PARP2"	"poly (ADP-ribose) polymerase 2"
"214087_s_at"	"BF593509"	"MYBPC1"	"myosin binding protein C, slow type"
"214088_s_at"	"AW080549"	"FUT3"	"fucosyltransferase 3 (galactoside 3(4)-L-fucosyltransferase, Lewis blood group)"
"214089_at"	"AA976278"	"RPS8"	"ribosomal protein S8"
"214090_at"	"BF732462"	"PAWR"	"PRKC, apoptosis, WT1, regulator"
"214091_s_at"	"AW149846"	"GPX3"	"glutathione peroxidase 3"
"214092_x_at"	"AI928127"	"SUGP2"	"SURP and G patch domain containing 2"
"214093_s_at"	"AA156865"	"FUBP1"	"far upstream element (FUSE) binding protein 1"
"214094_at"	"AA156865"	"FUBP1"	"far upstream element (FUSE) binding protein 1"
"214095_at"	"AW190316"	"SHMT2"	"serine hydroxymethyltransferase 2 (mitochondrial)"
"214096_s_at"	"AW190316"	"SHMT2"	"serine hydroxymethyltransferase 2 (mitochondrial)"
"214097_at"	"AW024383"	"RPS21"	"ribosomal protein S21"
"214098_at"	"AB029030"	"KIAA1107"	"KIAA1107"
"214099_s_at"	"AK001619"	"NA"	"NA"
"214100_x_at"	"AI284845"	"NSUN5P1"	"NOP2/Sun domain family, member 5 pseudogene 1"
"214101_s_at"	"BG153399"	"NPEPPS"	"aminopeptidase puromycin sensitive"
"214102_at"	"AK023737"	"NA"	"NA"
"214103_s_at"	"BE669921"	"RAP2A"	"RAP2A, member of RAS oncogene family"
"214104_at"	"AI703188"	"GPR161"	"G protein-coupled receptor 161"
"214105_at"	"AI922872"	"SOCS3"	"suppressor of cytokine signaling 3"
"214106_s_at"	"AI762113"	"GMDS"	"GDP-mannose 4,6-dehydratase"
"214107_x_at"	"AW340850"	"LOC440434"	"aminopeptidase puromycin sensitive pseudogene"
"214108_at"	"AI346181"	"MAX"	"MYC associated factor X"
"214109_at"	"AI659561"	"LRBA"	"LPS-responsive vesicle trafficking, beach and anchor containing"
"214110_s_at"	"BF195104"	"NA"	"NA"
"214111_at"	"AF070577"	"OPCML"	"opioid binding protein/cell adhesion molecule-like"
"214112_s_at"	"AA543076"	"NA"	"NA"
"214113_s_at"	"AI738479"	"RBM8A"	"RNA binding motif protein 8A"
"214114_x_at"	"AK023141"	"FASTK"	"Fas-activated serine/threonine kinase"
"214115_at"	"AI814466"	"VAMP5"	"vesicle-associated membrane protein 5"
"214116_at"	"AI767414"	"BTD"	"biotinidase"
"214117_s_at"	"AI767414"	"BTD"	"biotinidase"
"214118_x_at"	"AI205598"	"PCM1"	"pericentriolar material 1"
"214119_s_at"	"AI936769"	"FKBP1A"	"FK506 binding protein 1A, 12kDa"
"214120_at"	"AW157535"	"RFPL1S"	"RFPL1 antisense RNA 1"
"214121_x_at"	"AA086229"	"PDLIM7"	"PDZ and LIM domain 7 (enigma)"
"214122_at"	"AA086229"	"PDLIM7"	"PDZ and LIM domain 7 (enigma)"
"214123_s_at"	"AI126492"	"NOP14-AS1"	"NOP14 antisense RNA 1"
"214124_x_at"	"AL043487"	"FGFR1OP"	"FGFR1 oncogene partner"
"214125_s_at"	"BF440021"	"NENF"	"neudesin neurotrophic factor"
"214126_at"	"N39314"	"NA"	"NA"
"214127_s_at"	"H28020"	"SRRT"	"serrate, RNA effector molecule"
"214128_at"	"AB014559"	"DAGLA"	"diacylglycerol lipase, alpha"
"214129_at"	"AI821791"	"NA"	"NA"
"214130_s_at"	"AI821791"	"NA"	"NA"
"214131_at"	"AL049280"	"TXLNGY"	"taxilin gamma pseudogene, Y-linked"
"214132_at"	"BG232034"	"ATP5C1"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
"214133_at"	"AI611214"	"MUC6"	"mucin 6, oligomeric mucus/gel-forming"
"214134_at"	"BF939689"	"KIAA1211L"	"KIAA1211-like"
"214135_at"	"BE551219"	"CLDN18"	"claudin 18"
"214136_at"	"W80642"	"NUDT13"	"nudix (nucleoside diphosphate linked moiety X)-type motif 13"
"214137_at"	"AI806482"	"PTPRJ"	"protein tyrosine phosphatase, receptor type, J"
"214138_at"	"AA284829"	"ZNF79"	"zinc finger protein 79"
"214139_at"	"AI051476"	"ARID4B"	"AT rich interactive domain 4B (RBP1-like)"
"214140_at"	"AI827990"	"SLC25A16"	"solute carrier family 25 (mitochondrial carrier), member 16"
"214141_x_at"	"BF033354"	"SRSF7"	"serine/arginine-rich splicing factor 7"
"214142_at"	"AI732905"	"ZG16"	"zymogen granule protein 16"
"214143_x_at"	"AI560573"	"RPL24"	"ribosomal protein L24"
"214144_at"	"BF432147"	"POLR2D"	"polymerase (RNA) II (DNA directed) polypeptide D"
"214145_s_at"	"BG223341"	"SPTB"	"spectrin, beta, erythrocytic"
"214146_s_at"	"R64130"	"PPBP"	"pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)"
"214147_at"	"AL046350"	"MROH7"	"maestro heat-like repeat family member 7"
"214148_at"	"U90917"	"NA"	"NA"
"214149_s_at"	"AI252582"	"ATP6V0E1"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"214150_x_at"	"BE043477"	"ATP6V0E1"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"214151_s_at"	"AU144243"	"NA"	"NA"
"214152_at"	"AU144243"	"NA"	"NA"
"214153_at"	"BE467941"	"ELOVL5"	"ELOVL fatty acid elongase 5"
"214154_s_at"	"AA888057"	"PKP2"	"plakophilin 2"
"214155_s_at"	"AI743740"	"LARP4"	"La ribonucleoprotein domain family, member 4"
"214156_at"	"AL050090"	"MYRIP"	"myosin VIIA and Rab interacting protein"
"214157_at"	"AA401492"	"GNAS"	"GNAS complex locus"
"214158_s_at"	"AV682503"	"NA"	"NA"
"214159_at"	"AW771015"	"PLCE1"	"phospholipase C, epsilon 1"
"214160_at"	"AI738463"	"CDK6"	"cyclin-dependent kinase 6"
"214161_at"	"BF057458"	"OSGIN2"	"oxidative stress induced growth inhibitor family member 2"
"214162_at"	"AF070541"	"NA"	"NA"
"214163_at"	"AV700696"	"HSPB11"	"heat shock protein family B (small), member 11"
"214164_x_at"	"BF752277"	"CA12"	"carbonic anhydrase XII"
"214165_s_at"	"BF512553"	"HS6ST1"	"heparan sulfate 6-O-sulfotransferase 1"
"214166_at"	"AW294107"	"SDHB"	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
"214167_s_at"	"AA555113"	"RPLP0"	"ribosomal protein, large, P0"
"214168_s_at"	"AA813018"	"TJP1"	"tight junction protein 1"
"214169_at"	"BE615699"	"SUN1"	"Sad1 and UNC84 domain containing 1"
"214170_x_at"	"AA669797"	"FH"	"fumarate hydratase"
"214171_s_at"	"AI810156"	"U2AF2"	"U2 small nuclear RNA auxiliary factor 2"
"214172_x_at"	"BG032035"	"RYK"	"receptor-like tyrosine kinase"
"214173_x_at"	"AW514900"	"URI1"	"URI1, prefoldin-like chaperone"
"214174_s_at"	"BE043700"	"PDLIM4"	"PDZ and LIM domain 4"
"214175_x_at"	"AI254547"	"PDLIM4"	"PDZ and LIM domain 4"
"214176_s_at"	"AI348545"	"PBXIP1"	"pre-B-cell leukemia homeobox interacting protein 1"
"214177_s_at"	"AI935162"	"PBXIP1"	"pre-B-cell leukemia homeobox interacting protein 1"
"214178_s_at"	"AI356682"	"SOX2"	"SRY (sex determining region Y)-box 2"
"214179_s_at"	"H93013"	"NFE2L1"	"nuclear factor, erythroid 2-like 1"
"214180_at"	"AW340588"	"MAN1C1"	"mannosidase, alpha, class 1C, member 1"
"214181_x_at"	"AI735692"	"LST1"	"leukocyte specific transcript 1"
"214182_at"	"AA243143"	"NA"	"NA"
"214183_s_at"	"X91817"	"TKTL1"	"transketolase-like 1"
"214184_at"	"AW195837"	"NPFF"	"neuropeptide FF-amide peptide precursor"
"214185_at"	"AW592227"	"KHDRBS1"	"KH domain containing, RNA binding, signal transduction associated 1"
"214186_s_at"	"AI346483"	"HCG26"	"HLA complex group 26 (non-protein coding)"
"214187_x_at"	"AA129726"	"CTDSPL"	"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
"214188_at"	"AW665096"	"NA"	"NA"
"214189_s_at"	"AI799984"	"GGA2"	"golgi-associated, gamma adaptin ear containing, ARF binding protein 2"
"214190_x_at"	"AI799984"	"GGA2"	"golgi-associated, gamma adaptin ear containing, ARF binding protein 2"
"214191_at"	"W67992"	"ICA1"	"islet cell autoantigen 1, 69kDa"
"214192_at"	"Y08613"	"NUP88"	"nucleoporin 88kDa"
"214193_s_at"	"AI770084"	"DIEXF"	"digestive organ expansion factor homolog (zebrafish)"
"214194_at"	"AW043622"	"NA"	"NA"
"214195_at"	"AA602532"	"TPP1"	"tripeptidyl peptidase I"
"214196_s_at"	"AA602532"	"TPP1"	"tripeptidyl peptidase I"
"214197_s_at"	"AI762193"	"SETDB1"	"SET domain, bifurcated 1"
"214198_s_at"	"AU150824"	"DGCR2"	"DiGeorge syndrome critical region gene 2"
"214199_at"	"NM_003019"	"SFTPD"	"surfactant protein D"
"214200_s_at"	"AI193744"	"COL6A1"	"collagen, type VI, alpha 1"
"214201_x_at"	"AA742237"	"PRRC2A"	"proline-rich coiled-coil 2A"
"214202_at"	"N21364"	"NA"	"NA"
"214203_s_at"	"AA074145"	"NA"	"NA"
"214204_at"	"BF224076"	"PACRG"	"PARK2 co-regulated"
"214205_x_at"	"AK022131"	"GLRX3"	"glutaredoxin 3"
"214206_at"	"AI739480"	"NA"	"NA"
"214207_s_at"	"AW024347"	"CARD10"	"caspase recruitment domain family, member 10"
"214208_at"	"BF448703"	"KLHL35"	"kelch-like family member 35"
"214209_s_at"	"BE504895"	"ABCB9"	"ATP-binding cassette, sub-family B (MDR/TAP), member 9"
"214210_at"	"AL049764"	"SLC25A17"	"solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17"
"214211_at"	"AA083483"	"FTH1"	"ferritin, heavy polypeptide 1"
"214212_x_at"	"AI928241"	"FERMT2"	"fermitin family member 2"
"214213_x_at"	"AA063189"	"LMNA"	"lamin A/C"
"214214_s_at"	"AU151801"	"C1QBP"	"complement component 1, q subcomponent binding protein"
"214215_s_at"	"AW514174"	"LARP4B"	"La ribonucleoprotein domain family, member 4B"
"214216_s_at"	"AW628686"	"LARP4B"	"La ribonucleoprotein domain family, member 4B"
"214217_at"	"D60132"	"GRM5"	"glutamate receptor, metabotropic 5"
"214218_s_at"	"AV699347"	"XIST"	"X inactive specific transcript (non-protein coding)"
"214219_x_at"	"BE646618"	"MAP4K1"	"mitogen-activated protein kinase kinase kinase kinase 1"
"214220_s_at"	"AW003635"	"ALMS1"	"Alstrom syndrome protein 1"
"214221_at"	"AI825212"	"ALMS1"	"Alstrom syndrome protein 1"
"214222_at"	"AB023161"	"DNAH7"	"dynein, axonemal, heavy chain 7"
"214223_at"	"AA427737"	"PTP4A3"	"protein tyrosine phosphatase type IVA, member 3"
"214224_s_at"	"BE674061"	"PIN4"	"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"214225_at"	"BE674061"	"PIN4"	"peptidylprolyl cis/trans isomerase, NIMA-interacting 4"
"214226_at"	"AA528252"	"PRSS53"	"protease, serine, 53"
"214227_at"	"BF432795"	"GNG7"	"guanine nucleotide binding protein (G protein), gamma 7"
"214228_x_at"	"AJ277151"	"TNFRSF4"	"tumor necrosis factor receptor superfamily, member 4"
"214229_at"	"AL122077"	"DNAH17"	"dynein, axonemal, heavy chain 17"
"214230_at"	"R37664"	"CDC42"	"cell division cycle 42"
"214231_s_at"	"AI744626"	"VWA8"	"von Willebrand factor A domain containing 8"
"214232_at"	"AL037534"	"ABCF2"	"ATP-binding cassette, sub-family F (GCN20), member 2"
"214233_at"	"AW086154"	"GGA2"	"golgi-associated, gamma adaptin ear containing, ARF binding protein 2"
"214234_s_at"	"X90579"	"CYP3A5"	"cytochrome P450, family 3, subfamily A, polypeptide 5"
"214235_at"	"X90579"	"CYP3A5"	"cytochrome P450, family 3, subfamily A, polypeptide 5"
"214236_at"	"AA166684"	"NA"	"NA"
"214237_x_at"	"AI760470"	"PAWR"	"PRKC, apoptosis, WT1, regulator"
"214238_at"	"AI093572"	"NA"	"NA"
"214239_x_at"	"AI560455"	"NA"	"NA"
"214240_at"	"AL556409"	"GAL"	"galanin/GMAP prepropeptide"
"214241_at"	"AA723057"	"NDUFB8"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa"
"214242_at"	"AI189305"	"MAN1A2"	"mannosidase, alpha, class 1A, member 2"
"214243_s_at"	"AL450314"	"NA"	"NA"
"214244_s_at"	"AV717561"	"ATP6V0E1"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
"214245_at"	"AI734124"	"RPS14"	"ribosomal protein S14"
"214246_x_at"	"AI859060"	"MINK1"	"misshapen-like kinase 1"
"214247_s_at"	"AU148057"	"DKK3"	"dickkopf WNT signaling pathway inhibitor 3"
"214248_s_at"	"AW071795"	"TRIM2"	"tripartite motif containing 2"
"214249_at"	"AK000179"	"TRIM2"	"tripartite motif containing 2"
"214250_at"	"AI337584"	"NUMA1"	"nuclear mitotic apparatus protein 1"
"214251_s_at"	"AI337584"	"NUMA1"	"nuclear mitotic apparatus protein 1"
"214252_s_at"	"AV700514"	"CLN5"	"ceroid-lipofuscinosis, neuronal 5"
"214253_s_at"	"AI672185"	"DTNB"	"dystrobrevin, beta"
"214254_at"	"AW438674"	"MAGEA4"	"melanoma antigen family A4"
"214255_at"	"N35112"	"ATP10A"	"ATPase, class V, type 10A"
"214256_at"	"AB011138"	"ATP10A"	"ATPase, class V, type 10A"
"214257_s_at"	"AA890010"	"SEC22B"	"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"
"214258_x_at"	"AA886971"	"KAT5"	"K(lysine) acetyltransferase 5"
"214259_s_at"	"AI144075"	"AKR7A2"	"aldo-keto reductase family 7, member A2"
"214260_at"	"AI079287"	"COPS8"	"COP9 signalosome subunit 8"
"214261_s_at"	"H71135"	"ADH6"	"alcohol dehydrogenase 6 (class V)"
"214262_at"	"BE964082"	"NA"	"NA"
"214263_x_at"	"AI192781"	"POLR2C"	"polymerase (RNA) II (DNA directed) polypeptide C, 33kDa"
"214264_s_at"	"AI656610"	"EFCAB11"	"EF-hand calcium binding domain 11"
"214265_at"	"AI193623"	"ITGA8"	"integrin, alpha 8"
"214266_s_at"	"AW206786"	"PDLIM7"	"PDZ and LIM domain 7 (enigma)"
"214267_s_at"	"AI050793"	"CADM4"	"cell adhesion molecule 4"
"214268_s_at"	"AL042220"	"MTMR4"	"myotubularin related protein 4"
"214269_at"	"AK025922"	"MFSD7"	"major facilitator superfamily domain containing 7"
"214270_s_at"	"AI885178"	"MAPRE3"	"microtubule-associated protein, RP/EB family, member 3"
"214271_x_at"	"AA281332"	"RPL12"	"ribosomal protein L12"
"214272_at"	"AI362018"	"CYLD"	"cylindromatosis (turban tumor syndrome)"
"214273_x_at"	"AV704353"	"NPRL3"	"NPR3-like, GATOR1 complex subunit"
"214274_s_at"	"AI860341"	"ACAA1"	"acetyl-CoA acyltransferase 1"
"214275_at"	"AI217362"	"MED12"	"mediator complex subunit 12"
"214276_at"	"N49268"	"KLF12"	"Kruppel-like factor 12"
"214277_at"	"AI376724"	"COX11"	"COX11 cytochrome c oxidase copper chaperone"
"214278_s_at"	"AI358939"	"NDRG2"	"NDRG family member 2"
"214279_s_at"	"W74452"	"NDRG2"	"NDRG family member 2"
"214280_x_at"	"X79536"	"HNRNPA1"	"heterogeneous nuclear ribonucleoprotein A1"
"214281_s_at"	"AA524525"	"RCHY1"	"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase"
"214282_at"	"AA191647"	"CP"	"ceruloplasmin (ferroxidase)"
"214283_at"	"AU150186"	"NA"	"NA"
"214284_s_at"	"AA022949"	"FGF18"	"fibroblast growth factor 18"
"214285_at"	"AI041520"	"FABP3"	"fatty acid binding protein 3, muscle and heart"
"214286_at"	"X63749"	"GNAT1"	"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1"
"214287_s_at"	"BE675449"	"CDK13"	"cyclin-dependent kinase 13"
"214288_s_at"	"W86293"	"PSMB1"	"proteasome subunit beta 1"
"214289_at"	"W86293"	"PSMB1"	"proteasome subunit beta 1"
"214290_s_at"	"AI313324"	"NA"	"NA"
"214291_at"	"AA522618"	"NA"	"NA"
"214292_at"	"AA808063"	"ITGB4"	"integrin, beta 4"
